harass5,emailmin,emailhr,educ,polviews,advfront,snapchat,instagrm,wrkstat
NA,0,10,16,Slghtly conservative,Agree,Yes,No,Working fulltime
NA,0,0,13,Moderate,Disagree,NA,NA,Retired
NA,0,28,14,Slghtly conservative,Agree,NA,NA,Retired
No,0,0,11,Extremely liberal,NA,NA,NA,School
NA,20,0,16,Liberal,Agree,NA,NA,Working fulltime
No,NA,NA,16,Slightly liberal,NA,Yes,Yes,Working fulltime
No,0,20,16,Slightly liberal,NA,No,No,Working fulltime
Yes,NA,NA,20,Liberal,NA,Yes,Yes,School
No,NA,NA,12,Slghtly conservative,NA,No,No,Working parttime
NA,5,0,12,Slghtly conservative,Agree,NA,NA,Working fulltime
No,0,3,14,Moderate,NA,No,No,Working fulltime
NA,0,0,12,Moderate,Agree,NA,NA,Retired
NA,20,0,12,Extremely liberal,Disagree,No,No,Working fulltime
NA,0,25,16,Slightly liberal,Strongly agree,NA,NA,Working fulltime
No,0,7,12,Moderate,NA,No,No,Working parttime
NA,10,1,14,Slghtly conservative,Agree,NA,NA,Other
Yes,NA,NA,12,Moderate,NA,No,No,Working fulltime
NA,0,7,15,Moderate,Agree,No,No,Working fulltime
NA,0,2,12,Extremely liberal,Strongly agree,No,No,Working parttime
NA,0,10,17,Moderate,Agree,NA,NA,"Unempl, laid off"
No,NA,NA,12,Slghtly conservative,NA,NA,NA,Other
NA,0,56,17,Slightly liberal,Agree,NA,NA,Working fulltime
No,NA,NA,16,Moderate,NA,No,No,Working fulltime
NA,0,35,18,Moderate,Disagree,No,Yes,Working fulltime
NA,0,10,12,Moderate,Agree,NA,NA,Retired
No,NA,NA,20,Extremely liberal,NA,No,Yes,Working fulltime
No,0,20,18,Moderate,NA,No,No,Working fulltime
No,NA,NA,20,Liberal,NA,Yes,No,Working fulltime
NA,0,2,16,Liberal,Strongly agree,No,No,Working parttime
No,NA,NA,19,Slghtly conservative,NA,No,No,Working fulltime
No,0,2,16,Slghtly conservative,NA,No,No,Working parttime
NA,0,10,18,Liberal,Agree,NA,NA,Working fulltime
No,NA,NA,20,Liberal,NA,No,No,Working fulltime
NA,0,1,16,Moderate,Agree,No,Yes,Working fulltime
NA,0,10,16,Extremely liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,18,Slightly liberal,NA,No,No,Working fulltime
No,0,4,16,Liberal,NA,No,No,Working parttime
NA,0,1,18,Slghtly conservative,Agree,No,No,Working fulltime
NA,0,1,13,Liberal,Agree,NA,NA,Working fulltime
No,NA,NA,16,Liberal,NA,No,Yes,Working fulltime
No,0,0,12,Moderate,NA,NA,NA,Retired
NA,0,0,9,Moderate,Agree,NA,NA,Retired
NA,0,1,16,Liberal,Strongly agree,No,Yes,"Unempl, laid off"
NA,0,3,12,Extremely liberal,Strongly agree,NA,NA,Keeping house
Yes,NA,NA,19,Liberal,NA,No,Yes,Working fulltime
NA,0,2,14,Moderate,Agree,NA,NA,"Unempl, laid off"
No,NA,NA,16,Liberal,NA,No,No,Working fulltime
No,NA,NA,16,Slghtly conservative,NA,Yes,Yes,Working fulltime
NA,0,12,12,Moderate,Agree,NA,NA,Working fulltime
NA,0,20,14,Conservative,Strongly agree,No,No,Working fulltime
No,NA,NA,18,Moderate,NA,No,Yes,Temp not working
No,NA,NA,14,Slghtly conservative,NA,NA,NA,Retired
NA,0,4,20,Extremely liberal,Agree,NA,NA,Working fulltime
No,NA,NA,12,Slightly liberal,NA,No,No,Working fulltime
No,NA,NA,14,Slghtly conservative,NA,No,No,Retired
No,NA,NA,12,Slghtly conservative,NA,Yes,No,Working fulltime
NA,NA,NA,10,Extrmly conservative,NA,NA,NA,Retired
NA,0,0,2,Extremely liberal,Strongly agree,NA,NA,Working parttime
No,NA,NA,20,Liberal,NA,No,No,"Unempl, laid off"
No,0,4,12,NA,NA,NA,NA,Keeping house
NA,0,0,12,Moderate,Strongly agree,NA,NA,Working fulltime
NA,0,45,13,Conservative,Agree,NA,NA,Working fulltime
No,0,40,12,Moderate,NA,No,No,Working fulltime
No,NA,NA,12,Liberal,NA,No,No,Working parttime
No,0,7,12,Extremely liberal,NA,No,No,Working parttime
NA,0,2,13,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,15,Liberal,NA,No,No,School
Yes,NA,NA,14,Moderate,NA,No,No,Working parttime
NA,NA,NA,12,Moderate,NA,NA,NA,"Unempl, laid off"
NA,30,0,12,Conservative,Strongly agree,NA,NA,Working fulltime
No,0,14,12,Moderate,NA,NA,NA,School
Yes,NA,NA,16,Slightly liberal,NA,NA,NA,Working fulltime
NA,0,3,15,Liberal,Agree,No,Yes,Working parttime
NA,0,12,16,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,16,Liberal,NA,No,No,Working fulltime
No,2,0,12,Moderate,NA,NA,NA,Retired
NA,10,1,18,Moderate,Disagree,NA,NA,Retired
No,NA,NA,14,Slghtly conservative,NA,No,No,Working parttime
NA,5,0,12,Liberal,Agree,NA,NA,Working fulltime
No,NA,NA,13,Moderate,NA,No,No,Working fulltime
No,0,2,12,Moderate,NA,No,No,Working fulltime
NA,0,60,19,Slightly liberal,Disagree,NA,NA,Working fulltime
No,NA,NA,15,Moderate,NA,Yes,Yes,Working parttime
NA,20,0,17,Moderate,Agree,NA,NA,Keeping house
NA,30,0,10,Moderate,Agree,No,No,Keeping house
NA,0,20,13,Moderate,Agree,NA,NA,Working fulltime
NA,0,1,20,Moderate,Strongly agree,NA,NA,Working fulltime
NA,0,7,18,Slightly liberal,Strongly agree,NA,NA,Working fulltime
NA,0,20,16,Liberal,Strongly agree,NA,NA,Working fulltime
NA,30,2,17,Liberal,Agree,NA,NA,Retired
No,0,7,16,Liberal,NA,No,No,Working parttime
NA,0,1,14,Liberal,Agree,NA,NA,Working parttime
No,NA,NA,18,Liberal,NA,No,No,Working fulltime
NA,0,10,16,Moderate,Agree,NA,NA,Working parttime
NA,0,30,16,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,14,Liberal,NA,NA,NA,Retired
No,NA,NA,20,Liberal,NA,No,No,Working fulltime
NA,0,5,16,Moderate,Strongly agree,No,No,Keeping house
Yes,NA,NA,17,Slightly liberal,NA,No,No,Retired
Does not apply (i do not have a job/superior/co-worker),0,0,16,Moderate,NA,NA,NA,Retired
NA,40,0,17,Moderate,Strongly agree,NA,NA,Retired
No,NA,NA,6,Slightly liberal,NA,NA,NA,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,Conservative,NA,NA,NA,Keeping house
NA,NA,NA,12,Slightly liberal,Disagree,NA,NA,Retired
NA,10,0,11,Moderate,Agree,No,No,Working fulltime
No,0,20,14,Extremely liberal,NA,NA,NA,Working parttime
No,NA,NA,18,Slightly liberal,NA,No,Yes,Working fulltime
NA,0,4,13,Moderate,Agree,No,No,Working fulltime
Yes,0,10,20,Extremely liberal,NA,No,No,Working parttime
No,NA,NA,20,Liberal,NA,Yes,No,Working fulltime
NA,0,1,16,Slightly liberal,Disagree,NA,NA,Keeping house
No,NA,NA,13,Slightly liberal,NA,Yes,Yes,Working fulltime
NA,0,2,12,Moderate,Agree,NA,NA,Working fulltime
NA,NA,NA,6,Conservative,Strongly agree,NA,NA,Retired
No,NA,NA,12,Moderate,NA,Yes,Yes,Working fulltime
No,0,8,12,Moderate,NA,No,Yes,Working fulltime
No,NA,NA,7,Moderate,NA,No,No,"Unempl, laid off"
NA,NA,NA,12,Slightly liberal,Strongly agree,NA,NA,Temp not working
No,0,1,14,Moderate,NA,No,Yes,Working fulltime
No,NA,NA,16,Slightly liberal,NA,No,No,Working fulltime
NA,0,2,10,Conservative,Agree,NA,NA,Working fulltime
NA,0,6,12,Moderate,Agree,NA,NA,Working fulltime
NA,0,10,15,Moderate,Agree,NA,NA,Retired
Yes,NA,NA,19,Slightly liberal,NA,No,No,Working parttime
NA,NA,NA,8,NA,Dont know,NA,NA,Retired
No,NA,NA,6,Conservative,NA,NA,NA,Keeping house
No,NA,NA,20,Liberal,NA,NA,NA,Retired
NA,NA,NA,12,NA,Agree,NA,NA,Retired
No,NA,NA,14,Moderate,NA,NA,NA,Working fulltime
No,NA,NA,17,Slightly liberal,NA,No,Yes,Keeping house
NA,0,0,12,Slghtly conservative,Strongly agree,NA,NA,Other
No,NA,NA,15,Extremely liberal,NA,NA,NA,Working fulltime
NA,0,2,14,Moderate,Strongly agree,NA,NA,Working fulltime
No,0,1,13,Conservative,NA,No,No,Working fulltime
Yes,NA,NA,9,Moderate,NA,No,No,Working parttime
No,2,0,16,Slightly liberal,NA,No,No,Working fulltime
NA,0,4,16,Conservative,Agree,NA,NA,Retired
NA,0,3,16,Slightly liberal,Agree,NA,NA,Working fulltime
No,0,10,12,Moderate,NA,No,Yes,Working parttime
Yes,NA,NA,14,Slightly liberal,NA,No,Yes,"Unempl, laid off"
No,0,2,16,Conservative,NA,No,No,Keeping house
No,NA,NA,18,Conservative,NA,NA,NA,Keeping house
No,NA,NA,12,Slghtly conservative,NA,NA,NA,Retired
NA,0,0,12,Slghtly conservative,Disagree,NA,NA,Keeping house
NA,0,1,16,Moderate,Strongly disagree,NA,NA,Working parttime
No,NA,NA,12,Moderate,NA,NA,NA,Working parttime
No,NA,NA,8,Slightly liberal,NA,NA,NA,Retired
NA,0,1,12,Extremely liberal,Disagree,NA,NA,Working fulltime
No,NA,NA,14,Moderate,NA,NA,NA,"Unempl, laid off"
NA,0,1,12,Liberal,Disagree,No,No,School
No,NA,NA,7,Extremely liberal,NA,NA,NA,Keeping house
No,NA,NA,12,Liberal,NA,NA,NA,"Unempl, laid off"
NA,NA,NA,14,Moderate,Strongly agree,NA,NA,Working fulltime
NA,0,3,12,Moderate,Agree,NA,NA,"Unempl, laid off"
NA,0,5,17,Conservative,Agree,NA,NA,Working fulltime
NA,NA,NA,15,Conservative,Strongly agree,NA,NA,Retired
No,NA,NA,14,Moderate,NA,No,Yes,Working parttime
NA,0,60,20,Conservative,Strongly agree,NA,NA,Retired
NA,0,10,13,Conservative,Strongly agree,NA,NA,Working fulltime
No,NA,NA,13,Slghtly conservative,NA,No,Yes,Keeping house
Yes,NA,NA,20,Conservative,NA,No,Yes,Retired
NA,0,10,14,Moderate,Agree,Yes,No,Retired
NA,NA,NA,12,Extrmly conservative,Dont know,NA,NA,Retired
NA,0,8,13,Slghtly conservative,Agree,NA,NA,Other
No,0,15,20,Conservative,NA,NA,NA,Working fulltime
No,NA,NA,14,Conservative,NA,NA,NA,Retired
NA,0,0,12,Conservative,Agree,Yes,Yes,Working fulltime
NA,0,0,12,Conservative,Agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Keeping house
No,NA,NA,13,Conservative,NA,NA,NA,Retired
NA,0,10,13,Moderate,Dont know,No,No,Working parttime
NA,0,10,13,Moderate,Agree,NA,NA,Working parttime
Does not apply (i do not have a job/superior/co-worker),NA,NA,14,Extrmly conservative,NA,NA,NA,Retired
NA,0,2,20,Conservative,Agree,NA,NA,Working fulltime
No,0,32,16,Moderate,NA,No,No,Working fulltime
NA,20,0,12,NA,Dont know,NA,NA,Keeping house
NA,0,1,11,Moderate,Dont know,NA,NA,Working parttime
No,NA,NA,12,Slghtly conservative,NA,No,No,Working parttime
Yes,NA,NA,12,Slightly liberal,NA,No,No,Other
No,NA,NA,18,Moderate,NA,No,No,Working fulltime
NA,0,5,14,Extrmly conservative,Agree,NA,NA,Working parttime
NA,0,5,12,Moderate,Agree,No,No,Retired
NA,0,10,20,Conservative,Strongly agree,NA,NA,Working fulltime
No,NA,NA,14,Moderate,NA,Yes,Yes,Working parttime
NA,0,3,16,Moderate,Agree,No,No,Temp not working
NA,30,0,12,Conservative,NA,No,No,Working parttime
No,NA,NA,12,Slightly liberal,NA,NA,NA,Other
NA,0,1,10,Slightly liberal,Strongly agree,NA,NA,Retired
No,NA,NA,12,Slightly liberal,NA,NA,NA,Working fulltime
NA,0,0,16,Moderate,Agree,NA,NA,Working parttime
No,NA,NA,16,Slghtly conservative,NA,No,No,Keeping house
NA,0,1,16,Slghtly conservative,Agree,NA,NA,Working parttime
No,0,10,16,Moderate,NA,No,No,Working parttime
NA,0,1,20,Extremely liberal,Strongly agree,NA,NA,Retired
No,NA,NA,16,Moderate,NA,No,No,Working fulltime
NA,1,0,11,Conservative,Disagree,No,No,School
Yes,NA,NA,16,Slghtly conservative,NA,No,No,Working parttime
NA,0,12,16,Slghtly conservative,Agree,NA,NA,Working fulltime
NA,0,3,14,Conservative,Strongly agree,NA,NA,Working parttime
NA,0,3,14,Slghtly conservative,Agree,NA,NA,Retired
NA,0,5,16,Conservative,Disagree,No,No,Working fulltime
No,NA,NA,12,Moderate,NA,No,No,Working fulltime
NA,0,3,17,Liberal,Agree,NA,NA,Working fulltime
No,NA,NA,16,Slghtly conservative,NA,No,Yes,Working parttime
NA,0,1,12,Moderate,Strongly agree,No,No,Working parttime
No,NA,NA,18,Moderate,NA,No,No,Working parttime
NA,30,0,16,Slightly liberal,Agree,No,No,Working parttime
NA,0,30,16,Moderate,Agree,NA,NA,Working fulltime
NA,0,10,16,Slightly liberal,Agree,NA,NA,Keeping house
No,NA,NA,9,Moderate,NA,No,No,"Unempl, laid off"
No,NA,NA,12,Moderate,NA,NA,NA,Other
NA,NA,NA,19,Moderate,Agree,No,No,Working fulltime
NA,0,4,19,Conservative,Agree,NA,NA,Working fulltime
No,NA,NA,15,Conservative,NA,Yes,Yes,Keeping house
No,0,9,16,Liberal,NA,Yes,No,Working fulltime
No,0,0,16,NA,NA,NA,NA,Working fulltime
NA,0,10,19,NA,Strongly agree,NA,NA,Working parttime
NA,10,0,13,Liberal,Strongly agree,NA,NA,"Unempl, laid off"
NA,0,8,20,Slghtly conservative,Agree,Yes,No,Working fulltime
No,NA,NA,11,Conservative,NA,NA,NA,Retired
NA,NA,NA,13,Moderate,Agree,NA,NA,Retired
Yes,NA,NA,12,Moderate,NA,NA,NA,Working parttime
No,NA,NA,12,Moderate,NA,NA,NA,"Unempl, laid off"
NA,0,1,15,Conservative,Agree,No,Yes,Working fulltime
NA,0,1,16,Conservative,Agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Retired
No,NA,NA,13,Liberal,NA,Yes,Yes,School
NA,0,20,19,Moderate,Agree,Yes,Yes,Working parttime
No,NA,NA,16,Liberal,NA,No,No,Retired
NA,0,7,12,Conservative,Strongly disagree,NA,NA,Working fulltime
No,NA,NA,13,Slghtly conservative,NA,No,No,Working fulltime
NA,0,0,12,Conservative,Agree,No,Yes,Keeping house
NA,0,1,12,Extremely liberal,Agree,NA,NA,Other
No,NA,NA,12,Slightly liberal,NA,NA,NA,Working fulltime
No,5,0,16,Slightly liberal,NA,NA,NA,Working parttime
NA,NA,NA,12,Moderate,Agree,NA,NA,Retired
NA,20,0,12,Moderate,Disagree,NA,NA,Working fulltime
No,NA,NA,14,Slightly liberal,NA,No,No,Working parttime
No,2,0,12,Moderate,NA,Yes,Yes,"Unempl, laid off"
NA,0,30,11,Slghtly conservative,Agree,NA,NA,Working fulltime
No,NA,NA,18,Moderate,NA,No,No,Working fulltime
Yes,0,15,16,Slightly liberal,NA,Yes,No,Working fulltime
NA,0,22,18,Moderate,Agree,NA,NA,Working fulltime
Yes,NA,NA,15,Slghtly conservative,NA,Yes,No,Working fulltime
No,0,1,16,Moderate,NA,No,No,Working fulltime
No,NA,NA,14,Slightly liberal,NA,No,No,Working fulltime
No,NA,NA,12,Conservative,NA,No,No,Retired
NA,NA,NA,3,Slghtly conservative,Agree,NA,NA,Retired
NA,0,0,10,Liberal,Disagree,NA,NA,Keeping house
NA,NA,NA,12,Moderate,Agree,NA,NA,Keeping house
No,NA,NA,13,Moderate,NA,NA,NA,Working fulltime
NA,0,5,12,Conservative,Agree,NA,NA,Working fulltime
NA,NA,NA,10,Conservative,Strongly agree,NA,NA,School
No,NA,NA,14,NA,NA,No,No,Working fulltime
No,NA,NA,12,Liberal,NA,NA,NA,Working fulltime
NA,0,8,12,Conservative,Agree,NA,NA,Working fulltime
No,NA,NA,9,Extremely liberal,NA,NA,NA,Retired
NA,0,0,11,Moderate,Disagree,NA,NA,Working fulltime
NA,0,0,9,Moderate,Agree,NA,NA,Keeping house
No,NA,NA,12,Extremely liberal,NA,NA,NA,Working parttime
Yes,NA,NA,13,Liberal,NA,No,No,Working fulltime
No,0,1,7,Slghtly conservative,NA,No,No,Working fulltime
NA,0,1,12,Moderate,Agree,No,No,Working fulltime
NA,NA,NA,5,NA,Agree,NA,NA,Working parttime
No,NA,NA,13,Slghtly conservative,NA,No,Yes,Working fulltime
Yes,0,7,11,Moderate,NA,No,No,Working fulltime
NA,0,5,15,Moderate,Agree,NA,NA,School
NA,0,4,16,Moderate,Strongly agree,NA,NA,School
NA,30,0,12,Moderate,Agree,NA,NA,Retired
NA,0,21,16,Slghtly conservative,Agree,No,No,Working fulltime
No,0,10,19,Slghtly conservative,NA,No,No,Working fulltime
Yes,NA,NA,12,Slghtly conservative,NA,NA,NA,Working fulltime
No,NA,NA,9,Moderate,NA,No,No,Working fulltime
NA,0,5,12,Moderate,Agree,NA,NA,Working fulltime
NA,0,0,6,NA,Agree,NA,NA,Keeping house
No,NA,NA,12,Slightly liberal,NA,NA,NA,Working fulltime
No,NA,NA,18,Liberal,NA,NA,NA,Working fulltime
NA,0,2,16,Liberal,Agree,NA,NA,Working fulltime
No,NA,NA,0,NA,NA,NA,NA,Working fulltime
NA,0,1,12,Liberal,Agree,Yes,Yes,Keeping house
NA,0,2,6,Extrmly conservative,Agree,NA,NA,Working fulltime
No,NA,NA,12,Extremely liberal,NA,NA,NA,Keeping house
No,0,0,12,Moderate,NA,No,No,Keeping house
NA,0,20,14,Moderate,Strongly agree,NA,NA,Working fulltime
NA,NA,NA,12,NA,Strongly disagree,NA,NA,Keeping house
NA,0,8,17,Liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,14,Slightly liberal,NA,No,No,Working fulltime
NA,NA,NA,12,Conservative,Strongly agree,NA,NA,Keeping house
Yes,NA,NA,12,Extremely liberal,NA,NA,NA,Working parttime
NA,NA,NA,12,Conservative,Disagree,NA,NA,Retired
Yes,0,8,14,Extremely liberal,NA,NA,NA,Working fulltime
No,NA,NA,6,NA,NA,NA,NA,Working parttime
No,NA,NA,16,Moderate,NA,No,No,Working fulltime
NA,0,1,16,Slightly liberal,Agree,NA,NA,"Unempl, laid off"
NA,0,2,14,Moderate,Agree,NA,NA,Retired
Yes,15,20,13,Moderate,NA,No,Yes,Working parttime
No,NA,NA,14,Extremely liberal,NA,No,No,Keeping house
Yes,NA,NA,14,Extrmly conservative,NA,No,Yes,Keeping house
NA,0,5,15,Moderate,Strongly agree,Yes,Yes,Working fulltime
Yes,NA,NA,15,Slghtly conservative,NA,No,No,Temp not working
No,0,1,14,Conservative,NA,NA,NA,Working fulltime
NA,0,10,16,Slightly liberal,Agree,No,No,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,20,Moderate,NA,NA,NA,Retired
NA,0,0,13,Conservative,Agree,NA,NA,Keeping house
No,NA,NA,16,Conservative,NA,Yes,No,Working fulltime
NA,0,2,12,Conservative,Agree,NA,NA,Working fulltime
NA,0,6,13,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
Does not apply (i do not have a job/superior/co-worker),NA,NA,12,Moderate,NA,Yes,No,Retired
No,30,1,13,Slightly liberal,NA,Yes,No,Keeping house
NA,0,6,6,Liberal,Disagree,NA,NA,Working parttime
Yes,NA,NA,15,Extremely liberal,NA,No,No,Working parttime
NA,0,2,16,Extremely liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,15,Moderate,NA,Yes,Yes,Working fulltime
NA,0,1,18,Moderate,Strongly agree,No,No,Working fulltime
No,0,45,16,Liberal,NA,Yes,Yes,Working fulltime
Yes,NA,NA,14,Slghtly conservative,NA,NA,NA,Working fulltime
No,0,5,14,Moderate,NA,No,Yes,Working fulltime
No,0,1,14,Conservative,NA,NA,NA,Working parttime
No,NA,NA,18,Liberal,NA,NA,NA,Retired
NA,NA,NA,10,Extrmly conservative,Dont know,No,No,Working parttime
NA,NA,NA,11,Slightly liberal,Agree,NA,NA,Other
No,NA,NA,16,Conservative,NA,No,No,Working fulltime
NA,0,22,14,Extremely liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,12,Slghtly conservative,NA,No,No,Working fulltime
NA,0,1,14,Liberal,Strongly agree,NA,NA,Working fulltime
NA,0,2,11,Liberal,Strongly agree,No,No,Keeping house
NA,0,2,13,Slghtly conservative,Agree,NA,NA,Retired
NA,NA,NA,14,Liberal,Disagree,NA,NA,Working fulltime
No,NA,NA,8,Slightly liberal,NA,NA,NA,Working fulltime
NA,0,0,12,Moderate,Disagree,No,No,Keeping house
No,NA,NA,12,Moderate,NA,No,Yes,Working fulltime
No,0,1,13,Liberal,NA,Yes,Yes,School
NA,0,4,12,Slghtly conservative,Disagree,Yes,Yes,Working parttime
Yes,NA,NA,12,Conservative,NA,No,No,Working fulltime
NA,0,20,15,Slightly liberal,Agree,NA,NA,Working fulltime
No,NA,NA,16,Moderate,NA,No,No,Working fulltime
No,NA,NA,13,Slghtly conservative,NA,NA,NA,Retired
NA,0,20,13,Moderate,Agree,NA,NA,Working fulltime
NA,0,2,14,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,No,No,Working parttime
Does not apply (i do not have a job/superior/co-worker),0,0,13,Slightly liberal,NA,Yes,No,Retired
No,NA,NA,12,Slightly liberal,NA,No,No,Other
NA,0,1,16,Moderate,Disagree,No,Yes,Working fulltime
NA,NA,NA,12,Conservative,Strongly agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Keeping house
No,NA,NA,13,Slightly liberal,NA,No,No,School
Yes,0,3,11,Slghtly conservative,NA,NA,NA,Working fulltime
NA,0,0,13,Moderate,Agree,NA,NA,Retired
No,0,20,17,Moderate,NA,No,No,Working fulltime
No,30,1,12,Liberal,NA,NA,NA,Working fulltime
NA,0,70,14,NA,Agree,NA,NA,Working fulltime
No,NA,NA,12,Conservative,NA,NA,NA,Other
NA,0,20,13,Moderate,Disagree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Working fulltime
No,0,3,12,Moderate,NA,No,Yes,Working fulltime
NA,NA,NA,18,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
NA,2,0,11,Moderate,Agree,No,Yes,School
NA,0,0,8,Moderate,Agree,Yes,Yes,"Unempl, laid off"
No,NA,NA,14,Slightly liberal,NA,No,No,School
NA,0,1,14,NA,Agree,NA,NA,Working parttime
NA,25,0,12,Slghtly conservative,Agree,NA,NA,Working fulltime
No,NA,NA,12,Conservative,NA,No,Yes,Working fulltime
NA,0,1,16,Moderate,Agree,No,No,Working parttime
NA,NA,NA,17,Extremely liberal,Strongly disagree,NA,NA,Other
NA,0,1,16,Moderate,Agree,NA,NA,Retired
No,NA,NA,16,Moderate,NA,Yes,Yes,Working fulltime
NA,0,4,12,Liberal,Strongly agree,NA,NA,Retired
NA,0,3,14,Liberal,Agree,Yes,Yes,Working parttime
NA,30,0,12,Conservative,Agree,NA,NA,Working fulltime
NA,0,1,16,Slghtly conservative,Agree,NA,NA,Retired
NA,0,0,12,Slghtly conservative,Strongly agree,NA,NA,Retired
NA,0,50,16,Slghtly conservative,Strongly agree,NA,NA,Working fulltime
NA,10,1,12,Slightly liberal,Strongly agree,No,No,"Unempl, laid off"
NA,0,1,19,Moderate,Strongly agree,NA,NA,Working fulltime
No,NA,NA,16,Moderate,NA,Yes,Yes,Keeping house
NA,0,5,12,Slightly liberal,Agree,Yes,Yes,School
NA,0,20,17,Extremely liberal,Strongly agree,NA,NA,Working fulltime
No,NA,NA,16,Moderate,NA,Yes,Yes,Working fulltime
NA,0,20,16,Slightly liberal,Strongly agree,No,No,Working fulltime
No,NA,NA,16,Conservative,NA,NA,NA,Keeping house
No,0,2,12,Moderate,NA,NA,NA,Working fulltime
NA,0,0,16,Conservative,Disagree,NA,NA,Retired
NA,0,6,12,Liberal,Agree,NA,NA,Retired
No,NA,NA,16,Moderate,NA,NA,NA,Other
NA,0,10,14,Conservative,Agree,NA,NA,Working fulltime
Yes,NA,NA,14,Extremely liberal,NA,No,Yes,Working fulltime
NA,0,14,16,Slightly liberal,Strongly agree,NA,NA,Retired
No,NA,NA,5,NA,NA,NA,NA,Keeping house
No,NA,NA,18,Moderate,NA,Yes,Yes,Working fulltime
NA,0,8,16,Slightly liberal,Agree,No,No,Working fulltime
No,NA,NA,13,Moderate,NA,Yes,No,"Unempl, laid off"
Yes,0,1,16,Conservative,NA,NA,NA,Working fulltime
NA,20,0,11,NA,Disagree,NA,NA,Working fulltime
No,NA,NA,14,NA,NA,No,Yes,Working fulltime
NA,30,1,12,Moderate,Strongly agree,NA,NA,Working fulltime
No,NA,NA,16,Liberal,NA,No,No,Working fulltime
No,NA,NA,20,Slghtly conservative,NA,No,No,Working fulltime
NA,0,0,12,Liberal,Agree,NA,NA,Retired
No,NA,NA,16,Conservative,NA,No,No,Working fulltime
Yes,0,30,18,Conservative,NA,No,Yes,Working fulltime
NA,0,2,18,Slghtly conservative,Agree,NA,NA,Working parttime
No,NA,NA,16,Moderate,NA,No,No,Keeping house
No,NA,NA,12,Liberal,NA,No,No,Working fulltime
No,NA,NA,14,Liberal,NA,NA,NA,"Unempl, laid off"
NA,0,5,12,Slightly liberal,Strongly agree,NA,NA,"Unempl, laid off"
No,NA,NA,18,Moderate,NA,No,No,Working fulltime
No,NA,NA,12,Moderate,NA,NA,NA,Keeping house
No,NA,NA,12,Slightly liberal,NA,No,Yes,Retired
NA,0,1,12,Extrmly conservative,Disagree,No,No,Working parttime
NA,20,0,12,Moderate,Agree,NA,NA,Retired
No,0,6,14,Slightly liberal,NA,Yes,Yes,Working fulltime
NA,0,40,15,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,12,Moderate,NA,No,No,Working fulltime
Yes,0,50,16,Moderate,NA,No,No,Working fulltime
NA,0,3,16,Moderate,Strongly agree,NA,NA,Working fulltime
NA,NA,NA,8,Moderate,Agree,NA,NA,"Unempl, laid off"
NA,0,10,16,Slightly liberal,Strongly agree,Yes,Yes,Working fulltime
NA,0,0,12,Moderate,Agree,NA,NA,Keeping house
No,NA,NA,12,NA,NA,NA,NA,Working parttime
Yes,40,0,12,Slightly liberal,NA,No,Yes,Working fulltime
No,NA,NA,11,Moderate,NA,No,No,Retired
NA,30,0,12,Moderate,Agree,NA,NA,Retired
No,NA,NA,17,Liberal,NA,Yes,Yes,Working fulltime
NA,0,15,18,Moderate,Agree,NA,NA,Working fulltime
No,NA,NA,13,Slghtly conservative,NA,No,No,Working fulltime
No,0,10,13,Slightly liberal,NA,No,No,School
NA,NA,NA,12,Moderate,Agree,NA,NA,Retired
No,NA,NA,16,Slghtly conservative,NA,No,No,Working fulltime
NA,0,1,16,Liberal,Strongly agree,No,Yes,"Unempl, laid off"
NA,15,0,14,Moderate,Strongly agree,NA,NA,Retired
Yes,NA,NA,16,Moderate,NA,NA,NA,Working fulltime
NA,0,0,15,Slightly liberal,Agree,NA,NA,Working fulltime
No,NA,NA,18,Moderate,NA,No,No,Working fulltime
NA,NA,NA,13,Conservative,Dont know,NA,NA,Retired
No,NA,NA,16,Moderate,NA,No,Yes,Working fulltime
Does not apply (i do not have a job/superior/co-worker),0,5,18,Moderate,NA,No,No,Retired
NA,0,0,12,Moderate,Strongly agree,No,No,Retired
NA,NA,NA,NA,NA,NA,NA,NA,Other
No,NA,NA,9,Slightly liberal,NA,No,No,Retired
No,0,20,13,Moderate,NA,NA,NA,Working fulltime
NA,NA,NA,15,Slghtly conservative,Strongly agree,NA,NA,Other
